,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
620,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,3,NA,3
621,Oakland A's vs Houston Astros,6/2/19,Fly,2,68.3,2,NA,2
622,Oakland A's vs Houston Astros,6/2/19,Fly,2,78.5,3,NA,3
623,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,4,NA,4
624,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,5,5
625,Oakland A's vs Houston Astros,6/2/19,Ground,3,83.7,4,4,4
626,Oakland A's vs Houston Astros,6/2/19,Fly,2,75.6,5,NA,5
627,Oakland A's vs Houston Astros,6/2/19,Fly,2,79.9,1,1,1
628,Oakland A's vs Houston Astros,6/2/19,Line,4,58.8,1,1,1
629,Oakland A's vs Houston Astros,6/2/19,Fly,2,78.4,1,1,1
630,Oakland A's vs Houston Astros,6/2/19,Fly,2,83.5,4,4,4
631,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,4,NA,4
632,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,NA,5
633,Oakland A's vs Houston Astros,6/2/19,Pop Up,5,78.2,1,NA,1
634,Oakland A's vs Houston Astros,6/2/19,Fly,2,84.7,4,4,4
635,Oakland A's vs Houston Astros,6/2/19,Fly,2,74.2,4,NA,4
636,Oakland A's vs Houston Astros,6/2/19,Fly,2,77.1,1,1,1
637,Oakland A's vs Houston Astros,6/2/19,Ground,3,92.7,5,5,5
638,Oakland A's vs Houston Astros,6/2/19,Fly,2,77.6,3,NA,3
639,Oakland A's vs Houston Astros,6/2/19,Ground,3,71.9,5,5,5
640,Oakland A's vs Houston Astros,6/2/19,Fly,2,70.9,5,NA,5
641,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,4,4,4
642,Oakland A's vs Houston Astros,6/2/19,Ground,3,103,5,5,5
643,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,3,NA,3
644,Oakland A's vs Houston Astros,6/2/19,Pop Up,5,76.8,1,1,1
645,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,1,1,1
646,Oakland A's vs Houston Astros,6/2/19,Ground,3,61,2,NA,2
647,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
648,Oakland A's vs Houston Astros,6/2/19,Fly,2,74.1,5,NA,5
649,Oakland A's vs Houston Astros,6/2/19,Fly,2,75.3,3,NA,3
650,Oakland A's vs Houston Astros,6/2/19,Fly,2,78.1,3,NA,3
651,Oakland A's vs Houston Astros,6/2/19,Line,4,NA,1,1,1
652,Oakland A's vs Houston Astros,6/2/19,Ground,3,65.3,1,1,1
653,Oakland A's vs Houston Astros,6/2/19,Fly,2,82,3,NA,3
654,Oakland A's vs Houston Astros,6/2/19,Fly,2,96,4,4,4
655,Oakland A's vs Houston Astros,6/2/19,Fly,2,79.4,5,NA,5
656,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,5,NA,5
657,Oakland A's vs Houston Astros,6/2/19,Ground,3,78.7,1,1,1
658,Oakland A's vs Houston Astros,6/2/19,Ground,3,83,3,NA,3
659,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,4,NA,4
660,Oakland A's vs Houston Astros,6/2/19,Ground,3,62.5,5,NA,5
661,Oakland A's vs Houston Astros,6/2/19,Ground,3,99.9,5,5,5
662,Oakland A's vs Houston Astros,6/2/19,Fly,2,66.1,3,NA,3
663,Oakland A's vs Houston Astros,6/2/19,Fly,2,68.2,5,NA,5
664,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,NA,5
665,Oakland A's vs Houston Astros,6/2/19,Fly,2,73.3,2,NA,2
666,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,4,NA,4
667,Oakland A's vs Houston Astros,6/2/19,Fly,2,76.7,2,NA,2
668,Oakland A's vs Houston Astros,6/2/19,Pop Up,5,69.7,1,1,1
669,Oakland A's vs Houston Astros,6/2/19,Fly,2,NA,5,NA,5
670,Oakland A's vs Houston Astros,6/2/19,Fly,2,76,4,NA,4
671,Oakland A's vs Houston Astros,6/2/19,Fly,2,76.3,2,NA,2
672,Oakland A's vs Houston Astros,6/2/19,Fly,2,69.9,2,NA,2
673,Oakland A's vs Houston Astros,6/2/19,Ground,3,70.2,2,NA,2
674,Oakland A's vs Houston Astros,6/2/19,Ground,3,57.5,5,5,5
675,Oakland A's vs Houston Astros,6/2/19,Ground,3,NA,1,1,1
676,Oakland A's vs Houston Astros,6/2/19,Fly,2,88.2,5,NA,5
677,Oakland A's vs Houston Astros,6/2/19,Line,4,80.7,1,1,1
678,Oakland A's vs Houston Astros,6/2/19,Fly,2,79.8,1,1,1
679,Oakland A's vs Houston Astros,6/2/19,Fly,2,72.8,1,1,1
680,Oakland A's vs Houston Astros,6/2/19,Ground,3,84.1,5,5,5
681,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,4,NA,4
682,Atlanta Braves vs New York Mets,4/14/19,Fly,2,70.2,4,NA,4
683,Atlanta Braves vs New York Mets,4/14/19,Fly,2,85,1,1,1
684,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
685,Atlanta Braves vs New York Mets,4/14/19,Fly,2,60,4,NA,4
686,Atlanta Braves vs New York Mets,4/14/19,Fly,2,86.8,5,5,5
687,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
688,Atlanta Braves vs New York Mets,4/14/19,Ground,3,NA,4,NA,4
689,Atlanta Braves vs New York Mets,4/14/19,Fly,2,78.3,5,NA,5
690,Atlanta Braves vs New York Mets,4/14/19,Pop Up,5,80.5,1,1,1
691,Atlanta Braves vs New York Mets,4/14/19,Fly,2,80.9,4,NA,4
692,Atlanta Braves vs New York Mets,4/14/19,Fly,2,76.4,2,NA,2
693,Atlanta Braves vs New York Mets,4/14/19,Fly,2,78.4,5,NA,5
694,Atlanta Braves vs New York Mets,4/14/19,Line,4,96.5,5,5,5
695,Atlanta Braves vs New York Mets,4/14/19,Fly,2,73.9,1,1,1
696,Atlanta Braves vs New York Mets,4/14/19,Fly,2,71.4,2,NA,2
697,Atlanta Braves vs New York Mets,4/14/19,Pop Up,5,78.4,1,1,1
698,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
699,Atlanta Braves vs New York Mets,4/14/19,Fly,2,75.9,1,1,1
700,Atlanta Braves vs New York Mets,4/14/19,Ground,3,61.7,5,NA,5
701,Atlanta Braves vs New York Mets,4/14/19,Fly,2,76.8,5,NA,5
702,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
703,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
704,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,4,NA,4
705,Atlanta Braves vs New York Mets,4/14/19,Fly,2,78,1,1,1
706,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
707,Atlanta Braves vs New York Mets,4/14/19,Ground,3,61.8,5,5,5
708,Atlanta Braves vs New York Mets,4/14/19,Fly,2,84.4,1,1,1
709,Atlanta Braves vs New York Mets,4/14/19,Fly,2,76,1,1,1
710,Atlanta Braves vs New York Mets,4/14/19,Pop Up,5,71.5,1,1,1
711,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,2,NA,2
712,Atlanta Braves vs New York Mets,4/14/19,Ground,3,69.5,5,NA,5
713,Atlanta Braves vs New York Mets,4/14/19,Ground,3,76.8,5,5,5
714,Atlanta Braves vs New York Mets,4/14/19,Line,4,NA,1,1,1
715,Atlanta Braves vs New York Mets,4/14/19,Fly,2,74.7,2,NA,2
716,Atlanta Braves vs New York Mets,4/14/19,Fly,2,69.2,2,NA,2
717,Atlanta Braves vs New York Mets,4/14/19,Line,4,67.1,3,NA,3
718,Atlanta Braves vs New York Mets,4/14/19,Fly,2,75.9,1,1,1
719,Atlanta Braves vs New York Mets,4/14/19,Fly,2,70.7,4,NA,4
720,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,1,1,1
721,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
722,Atlanta Braves vs New York Mets,4/14/19,Fly,2,91.5,4,4,4
723,Atlanta Braves vs New York Mets,4/14/19,Fly,2,74.5,4,NA,4
724,Atlanta Braves vs New York Mets,4/14/19,Ground,3,68.7,2,NA,2
725,Atlanta Braves vs New York Mets,4/14/19,Fly,2,77.4,4,NA,4
726,Atlanta Braves vs New York Mets,4/14/19,Line,4,NA,1,1,1
727,Atlanta Braves vs New York Mets,4/14/19,Fly,2,59.4,3,NA,3
728,Atlanta Braves vs New York Mets,4/14/19,Ground,3,25.4,1,1,1
729,Atlanta Braves vs New York Mets,4/14/19,Ground,3,76.6,2,NA,2
730,Atlanta Braves vs New York Mets,4/14/19,Ground,3,NA,1,1,1
731,Atlanta Braves vs New York Mets,4/14/19,Fly,2,71.4,3,NA,3
732,Atlanta Braves vs New York Mets,4/14/19,Fly,2,75.9,4,NA,4
733,Atlanta Braves vs New York Mets,4/14/19,Fly,2,76.2,4,NA,4
734,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,5,NA,5
735,Atlanta Braves vs New York Mets,4/14/19,Fly,2,74.9,4,NA,4
736,Atlanta Braves vs New York Mets,4/14/19,Fly,2,69.5,1,1,1
737,Atlanta Braves vs New York Mets,4/14/19,Fly,2,NA,1,1,1
738,Atlanta Braves vs New York Mets,4/14/19,Line,4,NA,1,1,1
739,Atlanta Braves vs New York Mets,4/14/19,Fly,2,68.6,2,NA,2
740,Atlanta Braves vs New York Mets,4/14/19,Line,4,NA,1,1,1
741,Atlanta Braves vs New York Mets,4/14/19,Fly,2,73.5,1,1,1
742,Atlanta Braves vs New York Mets,4/14/19,Fly,2,71.7,4,4,4
743,Atlanta Braves vs New York Mets,4/14/19,Fly,2,79.5,4,NA,4
744,Atlanta Braves vs New York Mets,4/14/19,Pop Up,5,74.7,1,NA,1
745,Atlanta Braves vs New York Mets,4/14/19,Fly,2,54,3,NA,3
746,Atlanta Braves vs New York Mets,4/14/19,Fly,2,53.2,5,NA,5
747,Atlanta Braves vs New York Mets,4/14/19,Fly,2,86.8,4,4,4
748,Atlanta Braves vs New York Mets,4/14/19,Fly,2,76.2,4,NA,4
749,Atlanta Braves vs New York Mets,4/14/19,Fly,2,73.4,4,NA,4
750,Atlanta Braves vs New York Mets,4/14/19,Line,4,80.7,1,1,1
751,Atlanta Braves vs New York Mets,4/14/19,Line,4,NA,1,1,1
752,Atlanta Braves vs New York Mets,4/14/19,Fly,2,79.6,5,NA,5
753,Atlanta Braves vs New York Mets,4/14/19,Ground,3,NA,3,3,3
754,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,85.5,5,5,5
755,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,103.3,4,4,4
756,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,76.6,5,NA,5
757,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,89.4,4,NA,4
758,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,69.2,5,NA,5
759,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,79,1,1,1
760,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,76.4,2,NA,2
761,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,81.2,2,NA,2
762,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
763,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,97.1,4,NA,4
764,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
765,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,89.8,4,NA,4
766,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,76.6,3,NA,3
767,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,NA,1,1,1
768,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,101.7,4,4,4
769,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,60.6,2,NA,2
770,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,NA,1,1,1
771,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,68.1,4,NA,4
772,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,3,5,5
773,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,69.3,3,NA,3
774,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,87.8,4,NA,4
775,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
776,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,83.5,5,5,5
777,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,76.8,4,NA,4
778,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,NA,4,NA,4
779,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,75.1,4,NA,4
780,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Pop Up,5,NA,1,NA,1
781,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,5,5,5
782,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
783,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,80.5,4,4,4
784,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,NA,1,1,1
785,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,3,3,3
786,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,100,6,6,6
787,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,64.2,5,5,5
788,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,79.5,4,NA,4
789,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,74.2,1,1,1
790,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,73.1,1,1,1
791,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,87.5,4,4,4
792,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
793,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
794,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
795,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,76.8,4,4,4
796,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,2,NA,2
797,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,5,NA,5
798,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,NA,1,1,1
799,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,75.8,3,NA,3
800,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,5,NA,5
801,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Pop Up,5,81.7,1,1,1
802,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,60.9,3,NA,3
803,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,66.1,5,NA,5
804,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,77.6,1,1,1
805,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
806,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,81.4,2,4,4
807,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,74.9,1,1,1
808,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,3,NA,3
809,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,67.3,5,NA,5
810,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
811,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
812,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,94.3,4,NA,4
813,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,78.9,4,NA,4
814,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,4,NA,4
815,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Pop Up,5,74.2,1,1,1
816,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,68.7,5,5,5
817,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Pop Up,5,79.3,1,1,1
818,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,3,3,3
819,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,67.5,5,5,5
820,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,49.2,3,NA,3
821,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,3,NA,3
822,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,3,NA,3
823,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,75.8,4,4,4
824,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,3,NA,3
825,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,71.1,3,NA,3
826,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,NA,1,1,1
827,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,2,2,2
828,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Ground,3,73.2,5,NA,5
829,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Pop Up,5,70.5,1,NA,1
830,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,91.5,5,5,5
831,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Line,4,76.7,1,1,1
832,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,67.4,3,NA,3
833,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,2,NA,2
834,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,5,5,5
835,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,5,5,5
836,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,76.3,3,NA,3
837,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,80.3,2,NA,2
838,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,NA,5,NA,5
839,Los Angeles Dodgers vs Arizona Diamondsbacks,3/29/19,Fly,2,90.6,4,NA,4
840,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,5,5,5
841,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,89.4,5,NA,5
842,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,NA,1,1,1
843,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,3,NA,3
844,New York Yankees vs Baltimore Orioles,3/31/19,Pop Up,5,90.7,1,1,1
845,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,75.3,3,NA,3
846,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,73.4,4,4,4
847,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,NA,1,1,1
848,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,78.9,1,1,1
849,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,63.7,3,NA,3
850,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,3,NA,3
851,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,87.6,5,NA,5
852,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,NA,1,1,1
853,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,73.1,5,NA,5
854,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,72.1,1,1,1
855,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,NA,1,1,1
856,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,NA,5,NA,5
857,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,4,NA,4
858,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,70.4,1,1,1
859,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,3,NA,3
860,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,73,1,1,1
861,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,4,NA,4
862,New York Yankees vs Baltimore Orioles,3/31/19,Pop Up,5,NA,1,NA,1
863,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,72.7,4,NA,4
864,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,78.8,4,NA,4
865,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,55.5,5,NA,5
866,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,61.5,3,NA,3
867,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,65.4,5,NA,5
868,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,65.1,1,1,1
869,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,58,3,NA,3
870,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,69.1,5,NA,5
871,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,2,NA,2
872,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,5,NA,5
873,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,69.8,2,NA,2
874,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,66,2,NA,2
875,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,72.3,4,NA,4
876,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,62.7,2,NA,2
877,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,88,5,NA,5
878,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,80.3,5,NA,5
879,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,85,5,5,5
880,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,73.6,1,1,1
881,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,4,NA,4
882,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,NA,5,NA,5
883,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,91.9,5,5,5
884,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,81.4,3,NA,3
885,New York Yankees vs Baltimore Orioles,3/31/19,Pop Up,5,73.6,1,1,1
886,New York Yankees vs Baltimore Orioles,3/31/19,Batter hits self,1,NA,1,1,1
887,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,102.3,5,5,5
888,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,81.3,4,4,4
889,New York Yankees vs Baltimore Orioles,3/31/19,Pop Up,5,65.9,1,NA,1
890,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,NA,1,1,1
891,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,93.6,4,4,4
892,New York Yankees vs Baltimore Orioles,3/31/19,Line,4,84.6,5,5,5
893,New York Yankees vs Baltimore Orioles,3/31/19,Pop Up,5,77.5,1,1,1
894,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,82.2,5,NA,5
895,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,107.1,5,NA,5
896,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,75.5,1,1,1
897,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,90.9,5,NA,5
898,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,77.3,1,1,1
899,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,73.4,5,NA,5
900,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,52,5,5,5
901,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,92.8,4,NA,4
902,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,101.2,4,NA,4
903,New York Yankees vs Baltimore Orioles,3/31/19,Ground,3,68.5,1,1,1
904,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,84.5,5,NA,5
905,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,71.4,5,NA,5
906,New York Yankees vs Baltimore Orioles,3/31/19,Fly,2,86.5,4,NA,4
