,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
159,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,63,2,NA,2
160,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
161,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,82.8,4,NA,4
162,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,73.3,4,4,4
163,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
164,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,79.7,4,NA,4
165,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,74.4,5,5,5
166,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,102.9,5,NA,5
167,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,71,1,1,1
168,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,80.2,5,5,5
169,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,62.2,4,NA,4
170,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,96.6,5,5,5
171,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,4,NA,4
172,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,62.8,5,5,5
173,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,101.4,5,5,5
174,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,85.3,5,5,5
175,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,NA,1,1,1
176,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
177,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,5,NA,5
178,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,1,1,1
179,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,70.9,1,1,1
180,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,4,NA,4
181,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,45.1,4,NA,4
182,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,72.8,4,NA,4
183,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,72.5,5,NA,5
184,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,62.7,5,NA,5
185,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,74.6,5,5,5
186,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,87.8,5,NA,5
187,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,70.2,1,NA,1
188,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,80.5,1,NA,1
189,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,81.7,1,1,1
190,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,NA,1,1,1
191,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,77.8,1,NA,1
192,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,86,5,NA,5
193,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,68.8,1,1,1
194,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,88.7,5,5,5
195,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,NA,1,1,1
196,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,2,NA,2
197,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
