year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,LBN,Lebanon,Middle East & North Africa,5.3,7.961111111,8.005925926,4.75,6.488095238,6.453065506,111,9.202031707,10,9.332472685,7.21,54,6.831532753,87,3,20,55,31,1.9
2010,LSO,Lesotho,Sub-Saharan Africa,5.091245,6.294444444,7.169444444,5.25,7.645833333,5.687220972,135,9.284402655,5,7.839667527,6.08,123,5.883610486,132,4,82,29,0,2.8
2010,LBR,Liberia,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,152,2,3.1
2010,LBY,Libya,Middle East & North Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
2010,LTU,Lithuania,Eastern Europe,6.5333,7.266666667,8.953333333,7.75,9.44047619,8.66401644,34,9.736428009,10,9.365305304,7.47,29,8.06700822,31,1,343,244,56,12.9
2010,LUX,Luxembourg,Western Europe,7.975355,7.961111111,8.550555556,9.25,9.645833333,9.202756223,9,9.54484994,10,9.354486437,7.53,25,8.366378111,12,1,236,133,271,11.4
2010,MKD,Macedonia,Eastern Europe,5.6,8.011111111,8.375555556,5,7.75,8.165920444,47,9.678130511,5,7.970761664,6.93,73,7.547960222,49,2,106,27,86,3.9
2010,MDG,Madagascar,Sub-Saharan Africa,4.9,9.627777778,8.348148148,2.5,8.023809524,6.822954316,93,8.150656531,5,7.853744871,6.41,104,6.616477158,103,3,26,15,4,0.8
2010,MWI,Malawi,Sub-Saharan Africa,4.8,7.777777778,8.181111111,5.25,7.3125,7.271030013,79,8.517681814,0,5.731546694,6.27,114,6.770515007,90,3,8,11,1,1.5
2010,MYS,Malaysia,South Asia,5.8,7.591666667,7.256111111,4.25,5.654761905,6.304836142,119,9.657992565,0,6.524780988,6.85,77,6.577418071,108,3,13,4,0,0.3
2010,MLI,Mali,Sub-Saharan Africa,4.873576,3.838888889,6.707037037,8,9.333333333,6.526070539,104,9.778214619,0,6.86296714,6.04,126,6.283035269,120,4,5,1,1,0.6
2010,MLT,Malta,Western Europe,7.512808,3.611111111,7.371851852,7.75,9.488095238,9.0321539,19,9.696633247,10,9.538917971,7.59,19,8.31107695,18,1,149,100,120,6.6
2010,MRT,Mauritania,Sub-Saharan Africa,4.3158,6.388888889,6.25,5.25,7.55952381,5.798657607,131,8.743291825,5,6.485321041,5.77,136,5.784328804,134,4,0,0,0,0
2010,MUS,Mauritius,Sub-Saharan Africa,6.655738,9.816666667,9.309259259,7.75,8.916666667,8.506716222,39,9.421406257,10,9.278094415,7.98,7,8.243358111,22,1,98,31,18,2.6
